Devname1,Devname2,Tossingprob
aniefer,dschaefer,1.12E-02
aniefer,egit.core-inbox,1.12E-02
aniefer,equinox.framework-inbox,2.25E-02
aniefer,equinox.p2-inbox,3.37E-02
aniefer,gheorghe,3.37E-02
aniefer,jcamelon,3.37E-02
aniefer,jdt-core-inbox,1.12E-02
aniefer,jeffmcaffer,2.25E-02
aniefer,johan.walles,1.12E-02
aniefer,john.camelon,4.49E-02
aniefer,john_arthorne,3.37E-02
aniefer,jwoo,1.12E-02
aniefer,jwt.runtime-inbox,1.12E-02
aniefer,karim,1.12E-02
aniefer,kim_horne,2.25E-02
aniefer,kmoir,1.12E-02
aniefer,markus.schorn,2.25E-02
aniefer,michael_valenta,1.12E-02
aniefer,nickboldt,2.25E-02
aniefer,pascal,2.25E-02
aniefer,pde-apitools-inbox,1.12E-02
aniefer,pde-build-inbox,2.25E-02
aniefer,pde-ui-inbox,1.01E-01
aniefer,platform-releng-inbox,3.37E-02
aniefer,platform-swt-inbox,1.12E-02
aniefer,platform-ui-inbox,3.37E-02
aniefer,platform-update-inbox,1.12E-02
aniefer,remy.suen,1.12E-02
aniefer,simon_kaegi,1.12E-02
aniefer,skovatch,1.12E-02
aniefer,slewis,1.12E-02
aniefer,spektom,1.12E-02
